tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ZMP_th(deg) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.30 0 -16 0 0 0 0 0 0 0 -0.05 0 1.12793e-06 0.000369742 0.0412105 -0.0649922 0.150174 0.0125949 -5.18963e-06 -0.00155248 -0.179326 0.294595 -0.696918 0.0115256
0.30 0 -15 0 0 0 0 0 0 0 -0.05 0 1.12957e-06 0.000370279 0.0412703 -0.065086 0.150392 0.0126142 -5.18796e-06 -0.00155193 -0.179265 0.294503 -0.6967 0.011553
0.30 0 -14 0 0 0 0 0 0 0 -0.05 0 1.13117e-06 0.000370806 0.0413291 -0.0651782 0.150605 0.012633 -5.18625e-06 -0.00155137 -0.179203 0.294409 -0.696478 0.0115808
0.30 0 -13 0 0 0 0 0 0 0 -0.05 0 1.13275e-06 0.000371323 0.0413867 -0.0652688 0.150815 0.0126514 -5.18452e-06 -0.0015508 -0.17914 0.294313 -0.696252 0.0116089
0.30 0 -12 0 0 0 0 0 0 0 -0.05 0 1.1343e-06 0.00037183 0.0414432 -0.0653577 0.15102 0.0126692 -5.18276e-06 -0.00155022 -0.179075 0.294216 -0.696023 0.0116372
0.30 0 -11 0 0 0 0 0 0 0 -0.05 0 1.13582e-06 0.000372327 0.0414986 -0.0654448 0.151222 0.0126865 -5.18098e-06 -0.00154964 -0.17901 0.294117 -0.69579 0.011666
0.30 0 -10 0 0 0 0 0 0 0 -0.05 0 1.1373e-06 0.000372814 0.0415529 -0.0655302 0.151419 0.0127034 -5.17917e-06 -0.00154905 -0.178944 0.294016 -0.695554 0.011695
0.30 0 -9 0 0 0 0 0 0 0 -0.05 0 1.00455e-06 0.000329309 0.0367039 -0.058096 0.134014 0.0107501 -5.27319e-06 -0.00157987 -0.18238 0.29953 -0.708193 0.0108563
0.30 0 -8 0 0 0 0 0 0 0 -0.05 0 9.98285e-07 0.000327256 0.0364751 -0.0577314 0.133176 0.0106884 -5.25571e-06 -0.00157414 -0.181741 0.298519 -0.705861 0.0110434
0.30 0 -7 0 0 0 0 0 0 0 -0.05 0 9.9172e-07 0.000325104 0.0362352 -0.0573493 0.132297 0.0106235 -5.23834e-06 -0.00156845 -0.181107 0.297515 -0.703544 0.0112294
0.30 0 -6 0 0 0 0 0 0 0 -0.05 0 9.84853e-07 0.000322853 0.0359843 -0.0569497 0.131378 0.0105553 -5.22109e-06 -0.00156279 -0.180476 0.296517 -0.701243 0.0114142
0.30 0 -5 0 0 0 0 0 0 0 -0.05 0 9.77686e-07 0.000320503 0.0357224 -0.0565328 0.130419 0.0104839 -5.20397e-06 -0.00155718 -0.179851 0.295527 -0.698959 0.0115978
0.30 0 -4 0 0 0 0 0 0 0 -0.05 0 9.70221e-07 0.000318056 0.0354497 -0.0560986 0.12942 0.0104093 -5.18697e-06 -0.00155161 -0.17923 0.294544 -0.696691 0.0117802
0.30 0 -3 0 0 0 0 0 0 0 -0.05 0 9.62461e-07 0.000315512 0.0351661 -0.0556473 0.128382 0.0103315 -5.1701e-06 -0.00154608 -0.178613 0.293569 -0.694441 0.0119612
0.30 0 -2 0 0 0 0 0 0 0 -0.05 0 9.54408e-07 0.000312872 0.0348718 -0.0551791 0.127304 0.0102506 -5.15337e-06 -0.00154059 -0.178002 0.292602 -0.69221 0.0121408
0.30 0 -1 0 0 0 0 0 0 0 -0.05 0 9.46064e-07 0.000310136 0.0345669 -0.0546941 0.126188 0.0101665 -5.13679e-06 -0.00153516 -0.177396 0.291643 -0.689998 0.012319
0.30 0 0 0 0 0 0 0 0 0 -0.05 0 1.06548e-06 0.000349742 0.0389887 -0.0613211 0.142684 0.0115976 -5.01548e-06 -0.00149621 -0.173068 0.28527 -0.676146 0.0158144
0.30 0 1 0 0 0 0 0 0 0 -0.05 0 9.28514e-07 0.000304382 0.0339257 -0.0536743 0.12384 0.00998918 -5.10407e-06 -0.00152443 -0.176201 0.289751 -0.685634 0.0126708
0.30 0 2 0 0 0 0 0 0 0 -0.05 0 9.19313e-07 0.000301366 0.0335895 -0.0531397 0.12261 0.00989593 -5.08794e-06 -0.00151914 -0.175611 0.288819 -0.683483 0.0128443
0.30 0 3 0 0 0 0 0 0 0 -0.05 0 9.09832e-07 0.000298258 0.033243 -0.052589 0.121342 0.00979966 -5.07198e-06 -0.00151391 -0.175028 0.287896 -0.681354 0.0130162
0.30 0 4 0 0 0 0 0 0 0 -0.05 0 9.00074e-07 0.000295059 0.0328865 -0.0520223 0.120037 0.00970041 -5.05618e-06 -0.00150873 -0.174451 0.286984 -0.679247 0.0131864
0.30 0 5 0 0 0 0 0 0 0 -0.05 0 8.90042e-07 0.00029177 0.0325199 -0.0514397 0.118696 0.00959821 -5.04056e-06 -0.00150361 -0.17388 0.286081 -0.677164 0.0133548
0.30 0 6 0 0 0 0 0 0 0 -0.05 0 8.79739e-07 0.000288392 0.0321435 -0.0508415 0.117318 0.00949308 -5.02512e-06 -0.00149855 -0.173316 0.285188 -0.675104 0.0135214
0.30 0 7 0 0 0 0 0 0 0 -0.05 0 8.69168e-07 0.000284926 0.0317572 -0.0502277 0.115905 0.00938506 -5.00986e-06 -0.00149355 -0.172758 0.284306 -0.673069 0.0136861
0.30 0 8 0 0 0 0 0 0 0 -0.05 0 8.58332e-07 0.000281374 0.0313613 -0.0495987 0.114456 0.00927418 -4.99478e-06 -0.0014886 -0.172207 0.283435 -0.671059 0.013849
